id,address,number,postal_code,municipality,province
10036.0,Rue des hêtres,,4950.0,Waimes,Liège
10037.0,Industriezone,6.0,9770.0,Kruishoutem,Oost-Vlaanderen
10038.0,Rue Pestelin,27.0,6238.0,Luttre,Hainaut
10039.0,Kerkstraat,23.0,2330.0,Merksplas,Antwerpen
10040.0,Parklaan,124.0,2300.0,Turnhout,Antwerpen
10041.0,Warandelaan,,9230.0,Wetteren,Oost-Vlaanderen
10042.0,Molenstraat,,9230.0,Wetteren,Oost-Vlaanderen
10043.0,Rue de Radelange,,6630.0,Martelange,Luxembourg
10044.0,Rue de Hotton,1.0,6987.0,Rendeux,Luxembourg
10045.0,Rue d Ampacet,1.0,6780.0,Messancy,Luxembourg
10046.0,Ferd. Maesstraat,51.0,2550.0,Kontich,Antwerpen
10047.0,Rue du Sas,75.0,7330.0,Saint-Ghislain,Hainaut
10048.0,Rue du Sas,75.0,7330.0,Saint-Ghislain,Hainaut
10049.0,Rue du Centre,80.0,4990.0,Lierneux,Liège
10050.0,Rue du Centre,80.0,4990.0,Lierneux,Liège
10051.0,Dorpsstraat,7.0,3450.0,Geetbets,Vlaams-Brabant
10052.0,Ketelstraat,54.0,3450.0,Geetbets,Vlaams-Brabant
10053.0,Rue Eliaers,1.0,6180.0,Courcelles,Hainaut
10054.0,Avenue de l Hôtel de Ville,1.0,6183.0,Trazegnies,Hainaut
10055.0,Rue Paul Pastur,115.0,6180.0,Courcelles,Hainaut
10056.0,Avenue Jean jaurès,2.0,6180.0,Courcelles,Hainaut
10057.0,Kapelstraat,10.0,2330.0,Merksplas,Antwerpen
10058.0,Kapelstraat,9.0,2330.0,Merksplas,Antwerpen
10059.0,Kerkplein,,2330.0,Merksplas,Antwerpen
10060.0,Noordkasteel Oost,6.0,2030.0,Antwerpen,Antwerpen
10061.0,Dorpstraat,4.0,3130.0,Begijnendijk,Vlaams-Brabant
10062.0,Getroodsesteemweg,1.0,3130.0,Begijnendijk,Vlaams-Brabant
10063.0,Jan van Rijswijcklaan,162.0,2020.0,Antwerpen,Antwerpen
10064.0,Bondgenotenlaan,140.0,3000.0,Leuven,Vlaams-Brabant
10065.0,Rue des bons enfants,3.0,4500.0,Huy,Liège
10066.0,Rue de Marbais,37.0,1495.0,Villers-la-Ville,Brabant Wallon
10067.0,sint-Jacobstraat,2.0,2000.0,Antwerpen,Antwerpen
10068.0,Universiteitplein,1.0,2610.0,Wilrijk,Antwerpen
10069.0,Lange Sint-annastraat,7.0,2000.0,Antwerpen,Antwerpen
10070.0,Rue des Fossés,11.0,6120.0,Nalinnes,Hainaut
10071.0,Rue du Village,2.0,6120.0,Nalinnes,Hainaut
10073.0,Willem Lamberstraat,,1930.0,Zaventem,Vlaams-Brabant
10074.0,Willem Lamberstraat,,1930.0,Zaventem,Vlaams-Brabant
10075.0,Rue des Frères Gabreau,27.0,7880.0,Flobecq,Hainaut
10076.0,Rue de la Vestre,41.0,4051.0,Vaux-sous-Chèvremont,Liège
10077.0,Rue d Enfer,5.0,1457.0,Walhain,Brabant Wallon
10078.0,Places de Fusillés,10.0,6700.0,Arlon,Luxembourg
10079.0,Rue Monnet,14.0,6000.0,Charleroi,Hainaut
10080.0,Petite Rue,4.0,6000.0,Charleroi,Hainaut
10083.0,Rue des Arbalestriers,25.0,7000.0,Mons,Hainaut
10084.0,Rue Joncquois,116.0,7000.0,Mons,Hainaut
10085.0,Avenue Melina Mercouri,,7000.0,Mons,Hainaut
10086.0,Rue des Bourgeois,7.0,5000.0,Namur,Namur
10087.0,Rue industrie,22.0,1400.0,Nivelles,Brabant Wallon
10088.0,Avenue Paul delvaux,12.0,1340.0,Ottignies,Brabant Wallon
10089.0,Rue du Rempart,,7500.0,Tournai,Hainaut
10090.0,Rue de Dison,134.0,4800.0,Verviers,Liège
10091.0,Gentstraat,56.0,8760.0,Meulebeke,West-Vlaanderen
10092.0,Jan Van Hembysebolwerk,6.0,9000.0,Gent,Oost-Vlaanderen
10093.0,Haagstraat,25.0,3650.0,Dilsen,Limburg
10094.0,Place Communale,2.0,1457.0,Walhain,Brabant Wallon
10096.0,Industriepark,30.0,2220.0,Heist-Op-Den-Berg,Antwerpen
10097.0,Kruisstraat,29.0,2850.0,Boom,Antwerpen
10098.0,Ommerscheimplein,4.0,8570.0,Anzegem,West-Vlaanderen
10099.0,Place Léopold,,6700.0,Arlon,Luxembourg
10100.0,Place des Sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon
10101.0,Rue Emile Vandervelde,,4570.0,Marchin,Liège
10102.0,Place de Grand-Marchin,3.0,4570.0,Marchin,Liège
10103.0,Rue Joseph Wauters,,4570.0,Marchin,Liège
10104.0,Boulevard du Roi Albert II,33.0,1030.0,Schaerbeek,Bruxelles-Brussel
10105.0,Boulevard du Roi Albert II,33.0,1030.0,Schaarbeek,Bruxelles-Brussel
10106.0,Luttrebruglaan,74.0,1190.0,Brussel,Bruxelles-Brussel
10107.0,Rue de Clairvaux,40.0,1348.0,Louvain-la-Neuve,Brabant Wallon
10108.0,Rue du Parc,32.0,4720.0,La,Liège
10111.0,Hechtelsesteenweg,1.0,3970.0,Leopoldsburg,Limburg
10113.0,De wittelaan,4.0,3970.0,Leopoldsburg,Limburg
10114.0,Heidestraat ,65.0,3971.0,Leopoldsburg,Limburg
10115.0,Caimolaan,130.0,3971.0,Heppen,Limburg
10116.0,Kastanjedreef,1.0,3970.0,Leopoldsburg,Limburg
10117.0,Hechtelsesteenweg,1.0,3970.0,Leopoldsburg,Limburg
10118.0,Koningin Astridplein,37.0,3970.0,Leopoldsburg,Limburg
10119.0,Zwarte Spechtstraat ,57.0,3971.0,Heppen,Limburg
10120.0,Battelsesteenweg,140.0,2800.0,Mechelen,Antwerpen
